date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:54:41	100/100	---MCZ	200	added ('OK')	text/plain	date:Mon,%2018%20Dec%202023%2005:54:40%20GMT	https://www.aishk.edu.hk/robots.txt		(from )
13:54:42	61218/61218	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Dec%202023%2005:54:42%20GMT	https://www.aishk.edu.hk/	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/index.html	(from )
13:54:42	2660/2660	---M--	200	added ('OK')	image/png	etag:%2264d30069-a64%22	https://www.aishk.edu.hk/apple-touch-icon.png	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/apple-touch-icon.png	(from https://www.aishk.edu.hk/)
13:54:42	1258/1258	---M--	200	added ('OK')	image/png	etag:%2264bfd257-4ea%22	https://www.aishk.edu.hk/favicon-32x32.png	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/favicon-32x32.png	(from https://www.aishk.edu.hk/)
13:54:42	841/841	---M--	200	added ('OK')	image/png	etag:%2265111eb8-349%22	https://www.aishk.edu.hk/favicon-16x16.png	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/favicon-16x16.png	(from https://www.aishk.edu.hk/)
13:54:43	431/431	---M--	200	added ('OK')	application/octet-stream	etag:%2261c2b6ab-1af%22	https://www.aishk.edu.hk/site.webmanifest	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/site.webmanifest	(from https://www.aishk.edu.hk/)
13:54:43	6296/6296	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c2b6ab-1898%22	https://www.aishk.edu.hk/safari-pinned-tab.svg	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/safari-pinned-tab.svg	(from https://www.aishk.edu.hk/)
13:54:43	329342/329342	---MCZ	200	added ('OK')	text/css	etag:W/%2265433c58-5067e%22	https://www.aishk.edu.hk/css/main.css?v=1698904700255	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/css/main4c44.css	(from https://www.aishk.edu.hk/)
13:54:43	34222/34222	---MCZ	200	added ('OK')	text/css	etag:W/%22c9d675e8875e1173f9c8b586138027d9%22	https://cdn.plyr.io/3.7.3/plyr.css	C:/Users/gavin_ha/Downloads/httrack/AISHK/cdn.plyr.io/3.7.3/plyr.css	(from https://www.aishk.edu.hk/)
13:54:44	60760/60760	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Dec%202023%2005:54:44%20GMT	https://www.aishk.edu.hk/app	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/app.html	(from https://www.aishk.edu.hk/)
13:54:44	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2018%20Dec%202023%2005:54:44%20GMT	https://www.aishk.edu.hk/access-reminder	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/access-reminder	(from https://www.aishk.edu.hk/)
